article_id,title,journal,pub_year,times_cited,doi,study_type_2,affiliation,affiliation_country,affiliation_airport,affiliation_airport_code,fieldstudy_country,field_study_location,field_airport,field_airport_code
201,"Extreme passive acoustic telemetry detection variability on a mesophotic coral reef, United States Virgin Islands",MARINE BIOLOGY,2017,0,10.1007/s00227-017-3213-y,Field-based,"Univ Virgin Isl, Ctr Marine & Environm Studies, 2 John Brewers Bay, St Thomas",United States,,,United States Virgin Islands,,,
203,The economic contribution of the muck dive industry to tourism in Southeast Asia,MARINE POLICY,2017,7,10.1016/j.marpol.2017.05.033,Field-based,"Curtin Univ, Dept Environm & Agr, Perth, WA",Australia,,,Indonesia,,,
203,The economic contribution of the muck dive industry to tourism in Southeast Asia,MARINE POLICY,2017,7,10.1016/j.marpol.2017.05.033,Field-based,"Curtin Univ, Dept Environm & Agr, Perth, WA",Australia,,,Philippines,,,
207,Reef-fish larval dispersal patterns validate no-take marine reserve network connectivity that links human communities,CORAL REEFS,2017,2,10.1007/s00338-017-1570-0,Field-based,"James Cook Univ, ARC Ctr Excellence Coral Reef Studies, Coll Sci & Engn, Townsville, Qld, Silliman Univ, Angelo King Ctr Res & Environm Management SUAKCRE, Dumaguete","Australia, Philippines",,TSV,Philippines,,,
211,Population genetic structure and connectivity in the widespread coral-reef fish Abudefduf saxatilis: the role of historic and contemporary factors,CORAL REEFS,2017,1,10.1007/s00338-017-1579-4,Field-based,"Inst Ecol AC, Red Biol Evolut, Carretera Antigua Coatepec 351, Xalapa 91070, Veracruz, Univ Michoacana San Nicola Hidalgo, Fac Biol, Lab Biol Acuat, Edificio R Planta Baja,Ciudad Univ, Morelia 58030, Michoacan",Mexico,,VER,Bahamas,,,
211,Population genetic structure and connectivity in the widespread coral-reef fish Abudefduf saxatilis: the role of historic and contemporary factors,CORAL REEFS,2017,1,10.1007/s00338-017-1579-4,Field-based,"Inst Ecol AC, Red Biol Evolut, Carretera Antigua Coatepec 351, Xalapa 91070, Veracruz, Univ Michoacana San Nicola Hidalgo, Fac Biol, Lab Biol Acuat, Edificio R Planta Baja,Ciudad Univ, Morelia 58030, Michoacan",Mexico,,VER,Belize,,,
211,Population genetic structure and connectivity in the widespread coral-reef fish Abudefduf saxatilis: the role of historic and contemporary factors,CORAL REEFS,2017,1,10.1007/s00338-017-1579-4,Field-based,"Inst Ecol AC, Red Biol Evolut, Carretera Antigua Coatepec 351, Xalapa 91070, Veracruz, Univ Michoacana San Nicola Hidalgo, Fac Biol, Lab Biol Acuat, Edificio R Planta Baja,Ciudad Univ, Morelia 58030, Michoacan",Mexico,,VER,Brazil,,,
211,Population genetic structure and connectivity in the widespread coral-reef fish Abudefduf saxatilis: the role of historic and contemporary factors,CORAL REEFS,2017,1,10.1007/s00338-017-1579-4,Field-based,"Inst Ecol AC, Red Biol Evolut, Carretera Antigua Coatepec 351, Xalapa 91070, Veracruz, Univ Michoacana San Nicola Hidalgo, Fac Biol, Lab Biol Acuat, Edificio R Planta Baja,Ciudad Univ, Morelia 58030, Michoacan",Mexico,,VER,Colombia,,,
211,Population genetic structure and connectivity in the widespread coral-reef fish Abudefduf saxatilis: the role of historic and contemporary factors,CORAL REEFS,2017,1,10.1007/s00338-017-1579-4,Field-based,"Inst Ecol AC, Red Biol Evolut, Carretera Antigua Coatepec 351, Xalapa 91070, Veracruz, Univ Michoacana San Nicola Hidalgo, Fac Biol, Lab Biol Acuat, Edificio R Planta Baja,Ciudad Univ, Morelia 58030, Michoacan",Mexico,,VER,Curacao,,,
211,Population genetic structure and connectivity in the widespread coral-reef fish Abudefduf saxatilis: the role of historic and contemporary factors,CORAL REEFS,2017,1,10.1007/s00338-017-1579-4,Field-based,"Inst Ecol AC, Red Biol Evolut, Carretera Antigua Coatepec 351, Xalapa 91070, Veracruz, Univ Michoacana San Nicola Hidalgo, Fac Biol, Lab Biol Acuat, Edificio R Planta Baja,Ciudad Univ, Morelia 58030, Michoacan",Mexico,,VER,Jamaica,,,
